ticker;nome;indice
ABBV34;Abbvie DRN;BDR
COLG34;Colgate DRN;BDR
D1EL34;Dell Technol DRN;BDR
CATP34;Caterpillar DRN;BDR
PFIZ34;Pfizer DRN ED;BDR
PGCO34;Pg DRN;BDR
MSBR34;Morgan Stan DRN;BDR
X1YZ34;Block Inc. DRN;BDR
TEXA34;Texas Inc DRN;BDR
CTGP34;Citigroup DRN;BDR
WFCO34;Wells Fargo DRN ED;BDR
COWC34;Costco DRN;BDR
AAPL34;Apple DRN ED;BDR
ASML34;Asml Hold DRN;BDR
VISA34;Visa Inc DRN ED;BDR
EXXO34;Exxon Mobil DRN ED;BDR
E1QN34;Equinor Asa DRN ED;BDR
SBUB34;Starbucks DRN ED;BDR
LILY34;Lilly DRN ED;BDR
CHVX34;Chevron DRN;BDR
COPH34;Cophillips DRN ED;BDR
JNJB34;Johnson DRN;BDR
FDMO34;Ford Motors DRN ED;BDR
MSFT34;Microsoft DRN;BDR
A1MT34;Applied Mate DRN;BDR
A1ZN34;Astrazeneca DRN;BDR
B1PP34;Bp Plc DRN ED;BDR
EQIX34;Equinix Inc DRN;BDR
MCDC34;Mcdonalds DRN;BDR
R1IN34;Realty Incom DRN;BDR
NEXT34;Nextera Ener DRN;BDR
N1EM34;Newmont Gold DRN;BDR
DEOP34;Diageo Pl DRN;BDR
ULEV34;Unilever DRN ED;BDR
GSGI34;Goldmansachs DRN;BDR
NIKE34;Nike DRN;BDR
QCOM34;Qualcomm DRN;BDR
H1SB34;Hsbc Holding DRN ED;BDR
BKNG34;Booking DRN;BDR
GMCO34;General Mot DRN;BDR
RIOT34;Rio Tinto DRN;BDR
BOAC34;Bank America DRN;BDR
PEPB34;Pepsico Inc DRN;BDR
BLAK34;Blackrock DRN;BDR
M2PW34;Medical P Tr DRN;BDR
GOGL34;Alphabet DRN;BDR
SIMN34;Simon Prop DRN;BDR
OXYP34;Occident Ptr DRN;BDR
UNHH34;Unitedhealth DRN;BDR
GOGL35;Alphabet DRN;BDR
KHCB34;Kraft Heinz DRN;BDR
GEOO34;Geaerospace DRN;BDR
NVDC34;Nvidia Corp DRN;BDR
HPQB34;Hp Company DRN;BDR
F2NV34;Franconevada DRN;BDR
HOME34;Home Depot DRN;BDR
N1DA34;Nasdaq Inc DRN;BDR
TMOS34;Thermfischer DRN;BDR
